    59   1861      0 3.939949E-05 3.939949E-05 1.608478E-05 5.488000E-16 0.000000E+00
    60     -1   1851 7.451157E-05 7.451157E-05 1.009554E-05 2.853760E-16 0.000000E+00
    61     -1   1846 3.015692E-05 3.015692E-05 7.919596E-06 2.853760E-16 0.000000E+00
    62   1845      0 2.800000E-06 2.800000E-06 2.325855E-05 4.609920E-16 0.000000E+00
    63   1844      0 8.038094E-05 8.038094E-05 1.252198E-05 2.634240E-16 0.000000E+00
    64   1843      0 2.800000E-06 2.800000E-06 2.596613E-05 4.609920E-16 0.000000E+00
    65   1842      0 3.474709E-05 3.474709E-05 1.187939E-05 1.975680E-16 0.000000E+00
    66     -1   1834 8.139475E-05 8.139475E-05 6.260990E-06 8.780800E-17 0.000000E+00
    67   1813      0 2.800000E-06 2.800000E-06 2.656313E-05 6.366080E-16 0.000000E+00
    68   1811      0 3.241234E-05 3.241234E-05 1.009554E-05 2.853760E-16 0.000000E+00
    69   1810      0 5.152883E-05 5.152883E-05 2.800000E-06 2.195200E-17 0.000000E+00
    70   1793      0 2.743429E-05 2.743429E-05 5.600000E-06 1.975680E-16 0.000000E+00
    71   1790      0 2.909845E-05 2.909845E-05 5.600000E-06 1.975680E-16 0.000000E+00
    72     -1   1784 4.592341E-05 4.592341E-05 1.009554E-05 2.853760E-16 0.000000E+00
    73   1777      0 2.800000E-06 2.800000E-06 2.800000E-05 1.339072E-15 0.000000E+00
    74   1758      0 2.800000E-06 2.800000E-06 2.240000E-05 9.878400E-16 0.000000E+00
    75   1755      0 5.347714E-05 5.347714E-05 5.600000E-06 1.975680E-16 0.000000E+00
    76   1754      0 3.474709E-05 3.474709E-05 1.120000E-05 2.195200E-17 0.000000E+00
    77     -1   1753 2.800000E-06 2.800000E-06 2.240000E-05 9.878400E-16 0.000000E+00
    78     -1   1752 2.800000E-06 2.800000E-06 2.240000E-05 9.878400E-16 0.000000E+00
    79     -1   1720 1.399707E-04 1.399707E-04 8.400000E-06 2.195200E-17 0.000000E+00
    80   1718      0 2.800000E-06 2.800000E-06 2.240000E-05 9.878400E-16 0.000000E+00
    81   1701      0 2.671030E-05 2.671030E-05 5.600000E-06 1.975680E-16 0.000000E+00
    82     -1   1692 2.800000E-06 2.800000E-06 2.240000E-05 9.878400E-16 0.000000E+00
    83   1689      0 3.015692E-05 3.015692E-05 1.009554E-05 2.853760E-16 0.000000E+00
    84   1688      0 6.563442E-05 6.563442E-05 1.400000E-05 6.366080E-16 0.000000E+00
    85   1681      0 2.800000E-06 2.800000E-06 2.132416E-05 6.366080E-16 0.000000E+00
    86   1666      0 6.503372E-05 6.503372E-05 1.583919E-05 4.609920E-16 0.000000E+00
    87     -1   1652 1.257072E-04 1.257072E-04 5.600000E-06 1.975680E-16 0.000000E+00
    88     -1   1638 6.794987E-05 6.794987E-05 5.600000E-06 1.975680E-16 0.000000E+00
    89     -1   1631 5.062056E-05 5.062056E-05 3.959798E-06 1.097600E-16 0.000000E+00
    90     -1   1614 9.961884E-05 9.961884E-05 4.849742E-06 1.756160E-16 0.000000E+00
    91     -1   1613 2.392321E-05 2.392321E-05 3.959798E-06 6.585600E-17 0.000000E+00
    92     -1   1605 2.800000E-06 2.800000E-06 2.038431E-05 2.853760E-16 0.000000E+00
    93     -1   1602 2.800000E-06 2.800000E-06 2.204722E-05 9.878400E-16 0.000000E+00
    94   1601      0 7.362986E-05 7.362986E-05 6.260990E-06 1.097600E-16 0.000000E+00
    95   1598      0 2.408651E-05 2.408651E-05 4.849742E-06 1.756160E-16 0.000000E+00
    96     -1   1595 2.800000E-06 2.800000E-06 3.028663E-05 1.251264E-15 0.000000E+00
    97   1564      0 1.067143E-04 1.067143E-04 1.009554E-05 2.853760E-16 0.000000E+00
    98   1550      0 2.800000E-06 2.800000E-06 1.979899E-05 1.097600E-16 0.000000E+00
    99   1548      0 2.472893E-05 2.472893E-05 6.260990E-06 6.585600E-17 0.000000E+00
   100   1544      0 1.018399E-04 1.018399E-04 3.959798E-06 8.780800E-17 0.000000E+00
   101   1542      0 2.800000E-06 2.800000E-06 3.417836E-05 4.609920E-16 0.000000E+00
   102     -1   1536 2.800000E-06 2.800000E-06 2.520000E-05 1.251264E-15 0.000000E+00
   103   1533      0 2.800000E-06 2.800000E-06 2.656313E-05 6.366080E-16 0.000000E+00
   104     -1   1514 2.424871E-05 2.424871E-05 5.600000E-06 1.975680E-16 0.000000E+00
   105     -1   1513 2.800000E-06 2.800000E-06 1.960000E-05 2.195200E-17 0.000000E+00
   106     -1   1509 2.800000E-06 2.800000E-06 1.960000E-05 9.878400E-16 0.000000E+00
   107     -1   1503 2.800000E-06 2.800000E-06 1.960000E-05 9.878400E-16 0.000000E+00
   108     -1   1497 2.800000E-06 2.800000E-06 1.960000E-05 9.878400E-16 0.000000E+00
